"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1140","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","765","The method setAttributesForAlarm() has an NCSS line count of 597","Code Size Rules","NcssMethodCount"
"1141","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","765","The method setAttributesForAlarm() has an NPath complexity of 487","Code Size Rules","NPathComplexity"
"1142","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","768","Avoid unused local variables such as 'Alarm_Severity'.","Unused Code Rules","UnusedLocalVariable"
"1143","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","768","Found 'DU'-anomaly for variable 'Alarm_Severity' (lines '768'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1144","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","769","Avoid unused local variables such as 'perfdegraded'.","Unused Code Rules","UnusedLocalVariable"
"1145","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","769","Found 'DU'-anomaly for variable 'perfdegraded' (lines '769'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1146","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","770","Found 'DU'-anomaly for variable 'alarmIdFlag' (lines '770'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1147","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","771","Found 'DD'-anomaly for variable 'trapbsid' (lines '771'-'966').","Controversial Rules","DataflowAnomalyAnalysis"
"1148","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","771","Found 'DU'-anomaly for variable 'trapbsid' (lines '771'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1149","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","773","Found 'DD'-anomaly for variable 'attributeName' (lines '773'-'788').","Controversial Rules","DataflowAnomalyAnalysis"
"1150","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","773","Found 'DD'-anomaly for variable 'attributeValue' (lines '773'-'789').","Controversial Rules","DataflowAnomalyAnalysis"
"1151","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","773","Found 'DU'-anomaly for variable 'ifAdminStatus' (lines '773'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1152","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","773","Found 'DU'-anomaly for variable 'ifOperStatus' (lines '773'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1153","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","780","Substitute calls to size() == 0 (or size() != 0) with calls to isEmpty()","Design Rules","UseCollectionIsEmpty"
"1154","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","789","Found 'DD'-anomaly for variable 'attributeValue' (lines '789'-'789').","Controversial Rules","DataflowAnomalyAnalysis"
"1155","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","789","Found 'DU'-anomaly for variable 'attributeValue' (lines '789'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1156","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","818","The String literal 'Broadsoft TimeStamp' appears 4 times in this file; the first occurrence is on line 818","String and StringBuffer Rules","AvoidDuplicateLiterals"
"1157","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","872","Found 'DD'-anomaly for variable 'time' (lines '872'-'875').","Controversial Rules","DataflowAnomalyAnalysis"
"1158","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","873","Found 'DD'-anomaly for variable 'timezone' (lines '873'-'873').","Controversial Rules","DataflowAnomalyAnalysis"
"1159","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","873","Found 'DD'-anomaly for variable 'timezone' (lines '873'-'876').","Controversial Rules","DataflowAnomalyAnalysis"
"1160","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","873","Found 'DD'-anomaly for variable 'timezone' (lines '873'-'886').","Controversial Rules","DataflowAnomalyAnalysis"
"1161","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","873","Found 'DD'-anomaly for variable 'timezone' (lines '873'-'906').","Controversial Rules","DataflowAnomalyAnalysis"
"1162","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","873","Found 'DU'-anomaly for variable 'timezone' (lines '873'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1163","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","875","Found 'DD'-anomaly for variable 'time' (lines '875'-'875').","Controversial Rules","DataflowAnomalyAnalysis"
"1164","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","876","Found 'DD'-anomaly for variable 'timezone' (lines '876'-'873').","Controversial Rules","DataflowAnomalyAnalysis"
"1165","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","876","Found 'DD'-anomaly for variable 'timezone' (lines '876'-'876').","Controversial Rules","DataflowAnomalyAnalysis"
"1166","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","876","Found 'DD'-anomaly for variable 'timezone' (lines '876'-'886').","Controversial Rules","DataflowAnomalyAnalysis"
"1167","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","876","Found 'DD'-anomaly for variable 'timezone' (lines '876'-'906').","Controversial Rules","DataflowAnomalyAnalysis"
"1168","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","876","Found 'DU'-anomaly for variable 'timezone' (lines '876'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1169","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","878","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"1170","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","885","Found 'DD'-anomaly for variable 'time' (lines '885'-'889').","Controversial Rules","DataflowAnomalyAnalysis"
"1171","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","886","Found 'DD'-anomaly for variable 'timezone' (lines '886'-'891').","Controversial Rules","DataflowAnomalyAnalysis"
"1172","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","889","Found 'DD'-anomaly for variable 'time' (lines '889'-'889').","Controversial Rules","DataflowAnomalyAnalysis"
"1173","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","891","Found 'DD'-anomaly for variable 'timezone' (lines '891'-'891').","Controversial Rules","DataflowAnomalyAnalysis"
"1174","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","904","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1175","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","905","Found 'DD'-anomaly for variable 'time' (lines '905'-'908').","Controversial Rules","DataflowAnomalyAnalysis"
"1176","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","906","Found 'DD'-anomaly for variable 'timezone' (lines '906'-'909').","Controversial Rules","DataflowAnomalyAnalysis"
"1177","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","908","Found 'DD'-anomaly for variable 'time' (lines '908'-'908').","Controversial Rules","DataflowAnomalyAnalysis"
"1178","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","909","Found 'DD'-anomaly for variable 'timezone' (lines '909'-'909').","Controversial Rules","DataflowAnomalyAnalysis"
"1179","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","958","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"1180","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","958","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1181","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","966","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"1182","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","966","Found 'DD'-anomaly for variable 'trapbsid' (lines '966'-'966').","Controversial Rules","DataflowAnomalyAnalysis"
"1183","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","966","Found 'DU'-anomaly for variable 'trapbsid' (lines '966'-'2,589').","Controversial Rules","DataflowAnomalyAnalysis"
"1184","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","973","Avoid concatenating nonliterals in a StringBuffer constructor or append().","String and StringBuffer Rules","InefficientStringBuffering"
"1185","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","974","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"1186","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1108","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"1187","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1110","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"1188","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1116","Avoid calling toString() on String objects; this is unnecessary.","String and StringBuffer Rules","StringToString"
"1189","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1293","The String literal 'ocmpPerceivedSeverity' appears 4 times in this file; the first occurrence is on line 1,293","String and StringBuffer Rules","AvoidDuplicateLiterals"
"1190","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1441","An empty statement (semicolon) not part of a loop","Basic Rules","EmptyStatementNotInLoop"
"1191","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1449","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"1192","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1456","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"1193","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1546","StringBuffer.append is called 2 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
"1194","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","1995","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1195","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2028","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1196","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2044","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1197","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2050","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1198","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2098","Prefer StringBuffer over += for concatenating strings","Optimization Rules","UseStringBufferForStringAppends"
"1199","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2168","The String literal 'funkSbrTrapVarComp' appears 4 times in this file; the first occurrence is on line 2,168","String and StringBuffer Rules","AvoidDuplicateLiterals"
"1200","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2559","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"1201","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2562","Avoid empty if statements","Basic Rules","EmptyIfStmt"
"1202","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2592","Avoid variables with short names like s","Naming Rules","ShortVariable"
"1203","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2595","Avoid variables with short names like st","Naming Rules","ShortVariable"
"1204","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2629","Found 'DD'-anomaly for variable 'isStringNotNull' (lines '2,629'-'2,632').","Controversial Rules","DataflowAnomalyAnalysis"
"1205","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2639","Found 'DD'-anomaly for variable 'isStringNull' (lines '2,639'-'2,643').","Controversial Rules","DataflowAnomalyAnalysis"
"1206","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2676","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"1207","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2680","Found 'DD'-anomaly for variable 'time' (lines '2,680'-'2,689').","Controversial Rules","DataflowAnomalyAnalysis"
"1208","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2683","Avoid variables with short names like st","Naming Rules","ShortVariable"
"1209","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2696","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"1210","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2696","String.indexOf(char) is faster than String.indexOf(String).","String and StringBuffer Rules","UseIndexOfChar"
"1211","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2698","Found 'DD'-anomaly for variable 'Timezone' (lines '2,698'-'2,707').","Controversial Rules","DataflowAnomalyAnalysis"
"1212","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2698","Found 'DU'-anomaly for variable 'Timezone' (lines '2,698'-'2,750').","Controversial Rules","DataflowAnomalyAnalysis"
"1213","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2701","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"1214","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2704","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1215","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2714","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1216","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2725","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"1217","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2738","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1218","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2752","Avoid variables with short names like s","Naming Rules","ShortVariable"
"1219","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2755","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"1220","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2756","Avoid variables with short names like st","Naming Rules","ShortVariable"
"1221","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2758","Found 'DU'-anomaly for variable 'year' (lines '2,758'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1222","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2758","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1223","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2758","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"1224","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2760","Found 'DU'-anomaly for variable 'month' (lines '2,760'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1225","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2760","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"1226","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2760","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"1227","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2761","Found 'DU'-anomaly for variable 'day' (lines '2,761'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1228","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2761","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"1229","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2762","Found 'DU'-anomaly for variable 'hours' (lines '2,762'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1230","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2762","Unnecessary wrapper object creation","Optimization Rules","UnnecessaryWrapperObjectCreation"
"1231","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2763","Found 'DU'-anomaly for variable 'minutes' (lines '2,763'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1232","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2764","Found 'DU'-anomaly for variable 'seconds' (lines '2,764'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1233","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2766","Found 'DU'-anomaly for variable 'g' (lines '2,766'-'2,804').","Controversial Rules","DataflowAnomalyAnalysis"
"1234","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2800","Found 'DD'-anomaly for variable 'timeZone' (lines '2,800'-'2,801').","Controversial Rules","DataflowAnomalyAnalysis"
"1235","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","5","2852","Found 'DU'-anomaly for variable 'am' (lines '2,852'-'2,861').","Controversial Rules","DataflowAnomalyAnalysis"
"1236","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2858","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1237","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2860","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1238","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2864","Static DateFormatter objects should be accessed in a synchronized manner","Design Rules","UnsynchronizedStaticDateFormatter"
"1239","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2869","Avoid unnecessary if..then..else statements when returning a boolean","Design Rules","SimplifyBooleanReturns"
"1240","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2871","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"1241","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateAlarm.java","3","2873","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"1242","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TranslateResult.java","3","3","Each class should declare at least one constructor","Controversial Rules","AtLeastOneConstructor"
"1243","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","8","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"1244","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","15","Parameter 'notification' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"1245","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","15","Parameter 'varbindOID' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"1246","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","15","Parameter 'varbindValue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"1247","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","17","Local variable 'notif' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1248","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","18","Local variable 'OID' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"1249","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","19","Found 'DD'-anomaly for variable 'alarmString' (lines '19'-'53').","Controversial Rules","DataflowAnomalyAnalysis"
"1250","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","20","Found 'DD'-anomaly for variable 'typeSubStr' (lines '20'-'58').","Controversial Rules","DataflowAnomalyAnalysis"
"1251","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","21","Found 'DD'-anomaly for variable 'classSubStr' (lines '21'-'62').","Controversial Rules","DataflowAnomalyAnalysis"
"1252","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","22","Found 'DD'-anomaly for variable 'levelSubStr' (lines '22'-'65').","Controversial Rules","DataflowAnomalyAnalysis"
"1253","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","23","Found 'DD'-anomaly for variable 'actionSubStr' (lines '23'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"1254","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","24","Found 'DD'-anomaly for variable 'flagsSubStr' (lines '24'-'71').","Controversial Rules","DataflowAnomalyAnalysis"
"1255","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","25","Found 'DD'-anomaly for variable 'spSubStr' (lines '25'-'73').","Controversial Rules","DataflowAnomalyAnalysis"
"1256","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","26","Found 'DD'-anomaly for variable 'classString' (lines '26'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"1257","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","27","Found 'DD'-anomaly for variable 'specificProblem' (lines '27'-'75').","Controversial Rules","DataflowAnomalyAnalysis"
"1258","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","28","Found 'DD'-anomaly for variable 'levelString' (lines '28'-'79').","Controversial Rules","DataflowAnomalyAnalysis"
"1259","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","29","Found 'DD'-anomaly for variable 'actionString' (lines '29'-'83').","Controversial Rules","DataflowAnomalyAnalysis"
"1260","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","5","30","Found 'DD'-anomaly for variable 'flagsString' (lines '30'-'103').","Controversial Rules","DataflowAnomalyAnalysis"
"1261","com.ericsson.oss.mediation.translator.model","src/main/java/com/ericsson/oss/mediation/translator/model/TruetimeAlarmHandler.java","3","31","Avoid excessively long variable names like alarmContentTokenizer","Naming Rules","LongVariable"
